Distance [m], Z [m NAP], Salinity [psu], Temperature [degC]
 12.99,  -1.564,   0.58,  19.00 
 12.99,  -1.503,   0.58,  19.00 
 12.99,  -1.382,   0.58,  19.00 
 12.99,  -1.260,   0.58,  19.00 
 12.99,  -1.139,   0.58,  19.00 
 12.99,  -1.018,   0.58,  19.00 
 12.99,  -0.896,   0.58,  19.00 
 12.99,  -0.775,   0.59,  18.99 
 12.99,  -0.653,   0.59,  18.99 
 12.99,  -0.532,   0.59,  18.99 
 12.99,  -0.410,   0.60,  18.98 
 12.99,  -0.289,   0.60,  18.95 
 12.99,  -0.228,   0.60,  18.95 
 18.08,  -2.794,   0.58,  19.01 
 18.08,  -2.730,   0.58,  19.01 
 18.08,  -2.602,   0.58,  19.01 
 18.08,  -2.473,   0.58,  19.01 
 18.08,  -2.345,   0.59,  19.01 
 18.08,  -2.217,   0.59,  19.01 
 18.08,  -2.088,   0.59,  19.01 
 18.08,  -1.960,   0.59,  19.01 
 18.08,  -1.832,   0.59,  19.01 
 18.08,  -1.703,   0.59,  19.00 
 18.08,  -1.575,   0.59,  19.00 
 18.08,  -1.447,   0.59,  19.00 
 18.08,  -1.319,   0.59,  19.00 
 18.08,  -1.190,   0.60,  19.00 
 18.08,  -1.062,   0.60,  19.00 
 18.08,  -0.934,   0.60,  19.00 
 18.08,  -0.805,   0.60,  19.00 
 18.08,  -0.677,   0.61,  18.99 
 18.08,  -0.549,   0.61,  18.99 
 18.08,  -0.420,   0.61,  18.98 
 18.08,  -0.292,   0.62,  18.97 
 18.08,  -0.228,   0.62,  18.97 
 22.36,  -3.666,   0.66,  19.04 
 22.36,  -3.603,   0.66,  19.04 
 22.36,  -3.475,   0.58,  19.01 
 22.36,  -3.348,   0.57,  19.01 
 22.36,  -3.221,   0.57,  19.01 
 22.36,  -3.093,   0.57,  19.01 
 22.36,  -2.966,   0.57,  19.01 
 22.36,  -2.838,   0.57,  19.01 
 22.36,  -2.711,   0.57,  19.01 
 22.36,  -2.584,   0.57,  19.01 
 22.36,  -2.456,   0.57,  19.01 
 22.36,  -2.329,   0.58,  19.01 
 22.36,  -2.202,   0.58,  19.01 
 22.36,  -2.074,   0.58,  19.01 
 22.36,  -1.947,   0.58,  19.00 
 22.36,  -1.820,   0.58,  19.00 
 22.36,  -1.692,   0.58,  19.00 
 22.36,  -1.565,   0.58,  19.00 
 22.36,  -1.438,   0.58,  19.00 
 22.36,  -1.310,   0.59,  19.00 
 22.36,  -1.183,   0.59,  19.00 
 22.36,  -1.056,   0.59,  19.00 
 22.36,  -0.928,   0.59,  19.00 
 22.36,  -0.801,   0.59,  19.00 
 22.36,  -0.674,   0.60,  19.00 
 22.36,  -0.546,   0.60,  18.99 
 22.36,  -0.419,   0.61,  18.99 
 22.36,  -0.292,   0.61,  18.98 
 22.36,  -0.228,   0.61,  18.98 
 27.57,  -3.989,   1.89,  19.30 
 27.57,  -3.942,   1.89,  19.30 
 27.57,  -3.847,   1.14,  19.14 
 27.57,  -3.737,   1.11,  19.13 
 27.57,  -3.611,   0.72,  19.06 
 27.57,  -3.483,   0.57,  19.01 
 27.57,  -3.356,   0.57,  19.01 
 27.57,  -3.228,   0.56,  19.01 
 27.57,  -3.100,   0.56,  19.01 
 27.57,  -2.973,   0.56,  19.01 
 27.57,  -2.845,   0.56,  19.01 
 27.57,  -2.717,   0.56,  19.01 
 27.57,  -2.590,   0.56,  19.01 
 27.57,  -2.462,   0.56,  19.00 
 27.57,  -2.334,   0.56,  19.00 
 27.57,  -2.207,   0.56,  19.00 
 27.57,  -2.079,   0.56,  19.00 
 27.57,  -1.951,   0.56,  19.00 
 27.57,  -1.824,   0.57,  19.00 
 27.57,  -1.696,   0.57,  19.00 
 27.57,  -1.568,   0.57,  19.00 
 27.57,  -1.441,   0.57,  19.00 
 27.57,  -1.313,   0.57,  19.00 
 27.57,  -1.185,   0.57,  19.00 
 27.57,  -1.058,   0.57,  19.00 
 27.57,  -0.930,   0.58,  18.99 
 27.57,  -0.802,   0.58,  18.99 
 27.57,  -0.675,   0.58,  18.99 
 27.57,  -0.547,   0.58,  18.99 
 27.57,  -0.419,   0.59,  18.98 
 27.57,  -0.292,   0.59,  18.98 
 27.57,  -0.228,   0.59,  18.98 
 32.26,  -4.498,  10.89,  19.96 
 32.26,  -4.449,  10.89,  19.96 
 32.26,  -4.350,   9.05,  19.87 
 32.26,  -4.238,   6.74,  19.73 
 32.26,  -4.113,   4.15,  19.53 
 32.26,  -3.988,   1.82,  19.29 
 32.26,  -3.862,   1.18,  19.14 
 32.26,  -3.737,   1.07,  19.12 
 32.26,  -3.611,   0.77,  19.08 
 32.26,  -3.483,   0.60,  19.03 
 32.26,  -3.356,   0.57,  19.01 
 32.26,  -3.228,   0.57,  19.01 
 32.26,  -3.100,   0.56,  19.01 
 32.26,  -2.973,   0.56,  19.01 
 32.26,  -2.845,   0.56,  19.01 
 32.26,  -2.717,   0.56,  19.01 
 32.26,  -2.590,   0.56,  19.01 
 32.26,  -2.462,   0.56,  19.01 
 32.26,  -2.334,   0.56,  19.01 
