,x,z,IC
0,0,0,1.0
1,0,1,1.0
2,0,2,1.0
3,0,3,1.0
4,0,4,4.0
5,0,5,4.0
6,0,6,5.0
7,0,7,5.0
8,0,8,5.0
9,0,9,5.0
10,0,10,5.0
11,0,11,5.0
12,0,12,5.0
13,0,13,5.0
14,0,14,5.0
15,0,15,5.0
16,0,16,5.0
17,0,17,5.0
18,0,18,5.0
19,0,19,5.0
20,0,20,5.0
21,0,21,5.0
22,0,22,5.0
23,0,23,5.0
24,0,24,5.0
25,0,25,5.0
26,0,26,5.0
27,0,27,5.0
28,0,28,5.0
29,0,29,5.0
30,0,30,5.0
31,0,31,5.0
32,1,0,1.0
33,1,1,1.0
34,1,2,1.0
35,1,3,1.0
36,1,4,4.0
37,1,5,4.0
38,1,6,5.0
39,1,7,5.0
40,1,8,5.0
41,1,9,5.0
42,1,10,5.0
43,1,11,5.0
44,1,12,5.0
45,1,13,5.0
46,1,14,5.0
47,1,15,5.0
48,1,16,5.0
49,1,17,5.0
50,1,18,5.0
51,1,19,5.0
52,1,20,5.0
53,1,21,5.0
54,1,22,5.0
55,1,23,5.0
56,1,24,5.0
57,1,25,5.0
58,1,26,5.0
59,1,27,5.0
60,1,28,5.0
61,1,29,5.0
62,1,30,5.0
63,1,31,5.0
64,2,0,1.0
65,2,1,1.0
66,2,2,1.0
67,2,3,1.0
68,2,4,4.0
69,2,5,4.0
70,2,6,5.0
71,2,7,5.0
72,2,8,5.0
73,2,9,5.0
74,2,10,5.0
75,2,11,5.0
76,2,12,5.0
77,2,13,5.0
78,2,14,5.0
79,2,15,5.0
80,2,16,5.0
81,2,17,5.0
82,2,18,5.0
83,2,19,5.0
84,2,20,5.0
85,2,21,5.0
86,2,22,5.0
87,2,23,5.0
88,2,24,5.0
89,2,25,5.0
90,2,26,5.0
91,2,27,5.0
92,2,28,5.0
93,2,29,5.0
94,2,30,5.0
95,2,31,5.0
96,3,0,1.0
97,3,1,1.0
98,3,2,1.0
99,3,3,1.0
100,3,4,4.0
101,3,5,4.0
102,3,6,5.0
103,3,7,5.0
104,3,8,5.0
105,3,9,5.0
106,3,10,5.0
107,3,11,5.0
108,3,12,5.0
109,3,13,5.0
110,3,14,5.0
111,3,15,5.0
112,3,16,5.0
113,3,17,5.0
114,3,18,5.0
115,3,19,5.0
116,3,20,5.0
117,3,21,5.0
118,3,22,5.0
119,3,23,5.0
120,3,24,5.0
121,3,25,5.0
122,3,26,5.0
123,3,27,5.0
124,3,28,5.0
125,3,29,5.0
126,3,30,5.0
127,3,31,5.0
128,4,0,1.0
129,4,1,1.0
130,4,2,1.0
131,4,3,1.0
132,4,4,4.0
133,4,5,4.0
134,4,6,5.0
135,4,7,5.0
136,4,8,5.0
137,4,9,5.0
138,4,10,5.0
139,4,11,5.0
140,4,12,5.0
141,4,13,5.0
142,4,14,5.0
143,4,15,5.0
144,4,16,5.0
145,4,17,5.0
146,4,18,5.0
147,4,19,5.0
148,4,20,5.0
149,4,21,5.0
150,4,22,5.0
151,4,23,5.0
152,4,24,5.0
153,4,25,5.0
154,4,26,5.0
155,4,27,5.0
156,4,28,5.0
157,4,29,5.0
158,4,30,5.0
159,4,31,5.0
160,5,0,1.0
161,5,1,1.0
162,5,2,1.0
163,5,3,1.0
164,5,4,4.0
165,5,5,4.0
166,5,6,5.0
167,5,7,5.0
168,5,8,5.0
169,5,9,5.0
170,5,10,5.0
171,5,11,5.0
172,5,12,5.0
173,5,13,5.0
174,5,14,5.0
175,5,15,5.0
176,5,16,5.0
177,5,17,5.0
178,5,18,5.0
179,5,19,5.0
180,5,20,5.0
181,5,21,5.0
182,5,22,5.0
183,5,23,5.0
184,5,24,5.0
185,5,25,5.0
186,5,26,5.0
187,5,27,5.0
188,5,28,5.0
189,5,29,5.0
190,5,30,5.0
191,5,31,5.0
192,6,0,1.0
193,6,1,1.0
194,6,2,1.0
195,6,3,1.0
196,6,4,4.0
197,6,5,4.0
198,6,6,5.0
199,6,7,5.0
200,6,8,5.0
201,6,9,5.0
202,6,10,5.0
203,6,11,5.0
204,6,12,5.0
205,6,13,5.0
206,6,14,5.0
207,6,15,5.0
208,6,16,5.0
209,6,17,5.0
210,6,18,5.0
211,6,19,5.0
212,6,20,5.0
213,6,21,5.0
214,6,22,5.0
215,6,23,5.0
216,6,24,5.0
217,6,25,5.0
218,6,26,5.0
219,6,27,5.0
220,6,28,5.0
221,6,29,5.0
222,6,30,5.0
223,6,31,5.0
224,7,0,1.0
225,7,1,1.0
226,7,2,1.0
227,7,3,1.0
228,7,4,4.0
229,7,5,4.0
230,7,6,5.0
231,7,7,5.0
232,7,8,5.0
233,7,9,5.0
234,7,10,5.0
235,7,11,5.0
236,7,12,5.0
237,7,13,5.0
238,7,14,5.0
239,7,15,5.0
240,7,16,5.0
241,7,17,5.0
242,7,18,5.0
243,7,19,5.0
244,7,20,5.0
245,7,21,5.0
246,7,22,5.0
247,7,23,5.0
248,7,24,5.0
249,7,25,5.0
250,7,26,5.0
251,7,27,5.0
252,7,28,5.0
253,7,29,5.0
254,7,30,5.0
255,7,31,5.0
256,8,0,1.0
257,8,1,1.0
258,8,2,1.0
259,8,3,1.0
260,8,4,4.0
261,8,5,4.0
262,8,6,5.0
263,8,7,5.0
264,8,8,5.0
265,8,9,5.0
266,8,10,5.0
267,8,11,5.0
268,8,12,5.0
269,8,13,5.0
270,8,14,5.0
271,8,15,5.0
272,8,16,5.0
273,8,17,5.0
274,8,18,5.0
275,8,19,5.0
276,8,20,5.0
277,8,21,5.0
278,8,22,5.0
279,8,23,5.0
280,8,24,5.0
281,8,25,5.0
282,8,26,5.0
283,8,27,5.0
284,8,28,5.0
285,8,29,5.0
286,8,30,5.0
287,8,31,5.0
288,9,0,1.0
289,9,1,1.0
290,9,2,1.0
291,9,3,1.0
292,9,4,4.0
293,9,5,4.0
294,9,6,5.0
295,9,7,5.0
296,9,8,5.0
297,9,9,5.0
298,9,10,5.0
299,9,11,5.0
300,9,12,5.0
301,9,13,5.0
302,9,14,5.0
303,9,15,5.0
304,9,16,5.0
305,9,17,5.0
306,9,18,5.0
307,9,19,5.0
308,9,20,5.0
309,9,21,5.0
310,9,22,5.0
311,9,23,5.0
312,9,24,5.0
313,9,25,5.0
314,9,26,5.0
315,9,27,5.0
316,9,28,5.0
317,9,29,5.0
318,9,30,5.0
319,9,31,5.0
320,10,0,1.0
321,10,1,1.0
322,10,2,1.0
323,10,3,1.0
324,10,4,4.0
325,10,5,4.0
326,10,6,5.0
327,10,7,5.0
328,10,8,5.0
329,10,9,5.0
330,10,10,5.0
331,10,11,5.0
332,10,12,5.0
333,10,13,5.0
334,10,14,5.0
335,10,15,5.0
336,10,16,5.0
337,10,17,5.0
338,10,18,5.0
339,10,19,5.0
340,10,20,5.0
341,10,21,5.0
342,10,22,5.0
343,10,23,5.0
344,10,24,5.0
345,10,25,5.0
346,10,26,5.0
347,10,27,5.0
348,10,28,5.0
349,10,29,5.0
350,10,30,5.0
351,10,31,5.0
352,11,0,1.0
353,11,1,1.0
354,11,2,1.0
355,11,3,1.0
356,11,4,1.0
357,11,5,4.0
358,11,6,5.0
359,11,7,5.0
360,11,8,5.0
361,11,9,5.0
362,11,10,5.0
363,11,11,5.0
364,11,12,5.0
365,11,13,5.0
366,11,14,5.0
367,11,15,5.0
368,11,16,5.0
369,11,17,5.0
370,11,18,5.0
371,11,19,5.0
372,11,20,5.0
373,11,21,5.0
374,11,22,5.0
375,11,23,5.0
376,11,24,5.0
377,11,25,5.0
378,11,26,5.0
379,11,27,5.0
380,11,28,5.0
381,11,29,5.0
382,11,30,5.0
383,11,31,5.0
384,12,0,1.0
385,12,1,1.0
386,12,2,1.0
387,12,3,1.0
388,12,4,1.0
389,12,5,4.0
390,12,6,5.0
391,12,7,5.0
392,12,8,5.0
393,12,9,5.0
394,12,10,5.0
395,12,11,5.0
396,12,12,5.0
397,12,13,5.0
398,12,14,5.0
399,12,15,5.0
400,12,16,5.0
401,12,17,5.0
402,12,18,5.0
403,12,19,5.0
404,12,20,5.0
405,12,21,5.0
406,12,22,5.0
407,12,23,5.0
408,12,24,5.0
409,12,25,5.0
410,12,26,5.0
411,12,27,5.0
412,12,28,5.0
413,12,29,5.0
414,12,30,5.0
415,12,31,5.0
416,13,0,1.0
417,13,1,1.0
418,13,2,1.0
419,13,3,1.0
420,13,4,1.0
421,13,5,4.0
422,13,6,5.0
423,13,7,5.0
424,13,8,5.0
425,13,9,5.0
426,13,10,5.0
427,13,11,5.0
428,13,12,5.0
